Arttırılabilir Azami Bellek,Bağlantılar,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Garanti Süresi,Garanti Tipi,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Menşei,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,Belirtilmemiş,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,34.999 TL,8 GB,DDR5,Renkli,512 GB,N/A,LOQ 15IAX9 83GS007XTR i5-12450HX 8GB 512 GB SSD RTX 4060 GDDR6 15.6'' FHD FreeDOS Gaming (Oyu,1920 x 1080,Full HD (FHD),Belirtilmemiş,12. Nesil,Intel Core i5,8,Free Dos,N/A
16 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,6 GB,Harici,120 Hz,2 Yıl,Dell Türkiye Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,N/A,N/A,VA,34.899 TL,16 GB,DDR5,Siyah,512 GB,N/A,"G15-5530 Intel Core i7-13650HX 16GB 512GB SSD RTX3050 6GB 15.6"" FHD 120Hz Ubuntu Gaming Laptop",1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,24,Free Dos,N/A
16 GB,USB - Bluetooth - HDMI,2 kg ve altı,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,55W,4 GB ve altı,Harici,144 Hz,2 Yıl,Monster Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,28.089 TL,16 GB,DDR4,Siyah,500 GB,2.3,"Abra A5 V21.3 Intel Core i7 12700H 16 GB RAM 500 GB SSD 4 GB RTX 2050 FreeDOS 15,6"" FHD 144 Hz",1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,4-6 Saat
32 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,105W,6 GB,Harici,144 Hz,2 Yıl,Lenovo Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.4,N/A,Full HD,34.999 TL,16 GB,DDR5,Luna Gri,512 GB,3.1,"LOQ Intel Core i5-12450HX 16GB 512GB SSD 6GB RTX4050 15.6"" FHD IPS DOS Gaming Laptop 83GS002TTR",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,6 Saat ve Üstü
64 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,1 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,4.4,N/A,IPS,26.499 TL,16 GB,DDR4,Siyah,500 GB,2.5,Excalibur G770.1245-BVJ0X-B i5-12450H 16GB RAM 500GB NVMe SSD GEN4 4GB RTX3050 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
8 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,ACER Türkiye Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,Full HD,23.999 TL,8 GB,DDR4,siyah,1 TB,N/A,"Nitro 5 Intel Core i5-12450H 8GB 1TB SSD RTX3050 FreeDos 15.6"" 144Hz Gaming Laptop NH.QFJEY.009",1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,N/A
32 GB,USB,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,N/A,4 GB ve altı,Harici,144 Hz,2 Yıl,HP Türkiye Garantili,1 TB,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,26.699 TL,16 GB,DDR4,MİKA GÜMÜŞ,1 TB,N/A,"Victus 15-fa0019nt Intel I5 12450h 16gb 1tb Ssd Rtx3050-4gb Dos 15.6"" Fhd 144hz Notebook A0gu6ea",1920 x 1080,FHD+,12450H,12. Nesil,Intel Core i5,4,Free Dos,4-6 Saat
8 GB,HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe (Aydınlatmalı),Oyun,4.6,N/A,IPS,27.299 TL,8 GB,DDR5,siyah,1 TB,2.1,"Nitro V 15 ANV15-51 Intel I5-13420H 8GB 1TB SSD 6GB RTX4050 15.6""FHD IPS 144hz Freedos",1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı
64 GB,Bluetooth,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,N/A,8 GB,Harici,144 Hz,1 Yıl,Casper Türkiye Garantili,HDD Yok,N/A,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,N/A,IPS,42.999 TL,32 GB,DDR4,Gri,2 TB,Belirtilmemiş,Excalibur G870.1270-DXB0X-B Intel Core i7-12700H 32GB RAM 2TB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,6 Saat ve Üstü
64 GB,USB - Bluetooth - HDMI,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,N/A,6 GB,Harici,144 Hz,2 Yıl,Resmi Distribütör Garantili,HDD Yok,N/A,Q Türkçe,Oyun,N/A,N/A,IPS,36.399 TL,16 GB,DDR5,Siyah,512 GB,N/A,Nb Cyborg 15 A13ve-1479xtr I7-13620h 16gb Ddr5 Rtx4050 Gddr6 6gb 512gb Ssd 15.6 Fhd 144hz Dos,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,16,Free Dos,N/A
